objectid,filename,title,format,description,creator,item_information,date,subject,location,latitude,longitude,source,findingaid,type,language
1908_tournament_program,1908_tournament_program.jpg,"Union Printers Baseball Tournament Programs, New York 1908",image/jpg,"The Union Printers National Baseball League annual tournament featured teams that represented different cities with local chapters of the International Typographical Union, a leading national labor union for those working at newspapers and other print media. The first tournament was held in New York City in 1908, and different cities hosted the event in subsequent years.",International Typographical Union,single-page; photographs,1908,"Baseball, labor unions, american history","New York, New York",40.73061,-73.935242,"University of Notre Dame, Rare Books & Special Collections",https://onesearch.library.nd.edu/permalink/f/tgve9/ndu_aleph006405347,Text (resource consisting primarily of words for reading),en
1911_el_score,1911_el_score.jpg,"El Score Semanario de Sports (Cuba), Nov. 18, 1911 (vol. 26, no. 46)",image/jpg,,,single-page; photographs,1911,,"Havana, Cuba",23.113592,-82.366592,"University of Notre Dame, Rare Books & Special Collections",https://onesearch.library.nd.edu/permalink/f/8ssp1h/ndu_aleph006555133,,es
1911_tournament_program,1911_tournament_program.jpg,"Union Printers Baseball Tournament Programs, St. Louis 1911",image/jpg,"The Union Printers National Baseball League annual tournament featured teams that represented different cities with local chapters of the International Typographical Union, a leading national labor union for those working at newspapers and other print media. The first tournament was held in New York City in 1908, and different cities hosted the event in subsequent years.",International Typographical Union,single-page; photographs,1911,"Baseball, labor unions, printing","St. Louis, Missouri",38.63,-90.2,"University of Notre Dame, Rare Books & Special Collections",https://onesearch.library.nd.edu/permalink/f/tgve9/ndu_aleph006399552,"Physical Object (inanimate, three-dimensional object or substance)",en
1913_spalding,1913_spalding.jpg,"Spalding Base Ball Uniforms, (A. G. Spalding & Bros., 1913)",image/jpg,This resource provides authentic with examples that allow us to buy uniforms,Spalding,single-page; photographs,1913,Communication Catalog & Marketing Columns,"New York, New York",40.73061,-73.935242,"University of Notre Dame, Rare Books & Special Collections",https://archivesspace.library.nd.edu/repositories/3/archival_objects/2063678,"Interactive Resource (requires user interaction to be understood, executed, experienced)",en
1916_waseda,1916_waseda.jpg,"Photo Album, American tour of the Waseda University base ball club in 1916",image/jpg,Collection of photos form the 1916 American tour of the Waseda University baseball club,Unknown,single-page; photographs,1916,"Sports, American History, Baseball","Tokyo, Japan",35.652832,139.839478,"University of Notre Dame, Rare Books & Special Collections",https://onesearch.library.nd.edu/permalink/f/8ssp1h/ndu_aleph006555143,Image (non-text visual representation),ja
1918_batter_up,1918_batter_up.jpg,"Batter Up, Uncle Sam is at the Plate, Harry Von Tilzer (composer); Harry Tighe (lyricist). New York: Harry Von Tilzer Music Publishing Co., 1918",image/jpg,"Cover text: ""The great baseball war song."" Image of Uncle Sam batting on front cover. Created in 1918.","Harry Von Tilzer, New York: Harry Von Tilzer Music Publishing Co",single-page; photographs,1918,"Song, Sheet Music. Depicts the time period at the end of WW1 combining the sybolism of Uncle Sam and sport.","New York, New York",40.73061,-73.935242,"University of Notre Dame, Rare Books & Special Collections",https://archivesspace.library.nd.edu/repositories/3/archival_objects/1324054,"Interactive Resource (requires user interaction to be understood, executed, experienced)",en
1926_barons,1926_barons.jpg,"Account Book, Birmingham Black Barons, 1926-1930,",image/jpg,"The book records the club's financial transactions with each of its players for the 1926, 1927, 1928, 1929, and 1930 seasons. Material is arranged chronologically by season; individual player accounts for a given season are in roughly alphabetical order. The 1926 season occupies pages 1 to 24; 1927 is from 33 to 74; 1928 from 75 to 126; 1929 from 130 to 164, and 1930 from 165 to 196. Player accounts typically occupy two facing pages, with the player's name and monthly salary (""MoS"") at the head of the left-hand page. Each credit (usually in the form of salary) and debit (cash advances, equipment charges, fines, extra meals, taxi fare, phone calls, and so on) is indicated. Satchel Paige's accounts are on pages 55 (1927), 107 (1928), 148-149 (1929), and 191 (1930). The book also includes the club's accounts with Gray Sporting Goods Co., which provided the players' and team's equipment.",Birmingham Black Barons,single-page; photographs,1926,"sports, statistics","Birmingham, Alabama",33.5248,-86.8127,"University of Notre Dame, Rare Books & Special Collections",https://archivesspace.library.nd.edu/repositories/3/archival_objects/788334,"Physical Object (inanimate, three-dimensional object or substance)",en
1930s_new_york,1930s_new_york.jpg,"New York Black Yankees, Negro Leagues Pennants Collection",image/jpg,Pennant made from blue felt with a screen printed depiction of a baseball game being played by the N.Y. Black Yankees. The image is partially faded in places and shows seven players in the middle of a play; the team name is screen printed in white to the right of the image.,Unknown,single-page; photographs,1930,"Negro Leagues-- Pennants, Baseball-- 1930-1940","New York, New York",40.73061,-73.935242,"University of Notre Dame, Rare Books & Special Collections",https://archivesspace.library.nd.edu/repositories/3/archival_objects/1900857,"Physical Object (inanimate, three-dimensional object or substance)",en
1930s_newark,1930s_newark.jpg,"Newark Eagles, Negro Leagues Pennants Collection",image/jpg,"Green pennant with a screen printed image depicting a batter and catcher in the middle of a play. The team name ""Newark Eagles"" is screen printed on the right side of the triangular pennant.",Unknown,single-page; photographs,1930,"Negro Leagues, Baseball-- 1930-1940","Newark, New Jersey",40.735657,-74.172363,"University of Notre Dame, Rare Books & Special Collections",https://archivesspace.library.nd.edu/repositories/3/archival_objects/1900856,"Physical Object (inanimate, three-dimensional object or substance)",en
1931_ruth_itami,1931_ruth_itami.jpg,"Babe Ruth & Yasuhiro Itami, How to play baseball (Tokyo, 1931)",image/jpg,"This is a book written by Babe Ruth, translated into Japanese, intended to teach a young audience how to play baseball.",Babe Ruth - MLB Legend,single-page; photographs,1931,Baseball -- International World View,"Tokyo, Japan",35.652832,139.839478,"University of Notre Dame, Rare Books & Special Collections",https://onesearch.library.nd.edu/permalink/f/tgve9/ndu_aleph006613179,Service (system that provides one or more functions),ja
